title,price,rating,reviews,availablity
Sony PS5® Console – Cricket 24 Bundle,"₹47,990",4.5 out of 5 stars,"1,177 ratings", In stock 
PS5® Console – EA SPORTS FC™ 24 Bundle,"₹48,189",4.5 out of 5 stars,"1,177 ratings", In stock 
Sony PS5 Digital Standalone,"₹44,989",4.7 out of 5 stars,392 ratings, In stock 
"Big Ant Studios Cricket 24, Standard Edition, Playstation 5","₹4,294",4.0 out of 5 stars,1 rating, In stock 
Sony Horizon Forbidden West | Standard Edition | PS5 Game (PlayStation 5),"₹2,399",4.6 out of 5 stars,356 ratings, In stock 
"SONY PS5 GHOST OF TSUSHIMA DIRECTOR'S CUT- PS5, Black, 10GHOCU2","₹2,790",4.8 out of 5 stars,630 ratings,
Assassin's Creed Mirage | Standard Edition | PlayStation 5,"₹3,990",5.0 out of 5 stars,1 rating,
Sony God Of War Ragnarok | Standard Edition | PS5 Game (PlayStation 5),"₹3,299",4.7 out of 5 stars,"3,340 ratings", In stock 
PS5 Spiderman 2 Standard Edn.,"₹4,999",,," This item will be released on October 20, 2023. "
PlayStation 5 DualSense Wireless Controller,"₹6,490",4.6 out of 5 stars,"41,158 ratings", In stock 
Dorca® Dust Cover for Sony Playstation 5 Cover Disc & Digital Edition,₹244,4.4 out of 5 stars,679 ratings, In stock 
OIVO INDIA Hard Shell Dust Proof Cover Protective Case Anti Scratch Water-Resistant Carry-Bag for Playstation 5 Disc/Digital Version PS5 Bag (Grey),"₹2,659",,, In stock 
Mortal Kombat 1 | Standard Edition | PlayStation 5,"₹3,899",5.0 out of 5 stars,3 ratings, In stock 
F1 23 | Standard Edition | PlayStation 5,"₹3,471",4.7 out of 5 stars,11 ratings,
"New World Special Edition Charger for PS5 DualSense Controller Wireless Controller Charging Station for PS5 Controller with Dual USB C Ports, Fast Charging Dock for Sony Playstation 5 Controller-White","₹1,999",5.0 out of 5 stars,2 ratings,
Assassin's Creed Mirage | Deluxe Edition | PlayStation 5,"₹4,499",,, In stock 
NBA 2K24 | Kobe Bryant Edition | PlayStation 5,"₹4,979",,, In stock 
EA Sports FC 24 | Standard Edition | PlayStation 5,"₹4,793",4.4 out of 5 stars,9 ratings, In stock 
Rockstar Games PS5 Grand Theft Auto V,"₹1,749",4.4 out of 5 stars,437 ratings,
"OIVO INDIA Stylish Nylon Grey Hard Carrying Storage Case for Playstation 5 with Black Controller Case (PS5 Bag, Combo) [Video Game]","₹3,199",,, In stock 
"OIVO INDIA Stylish Nylon Grey Hard Carrying Storage Case for Playstation 5 with Red Controller Cases (PS5 Bag, Red Combo) [Video Game]","₹3,199",,, In stock 
"TMG®PS5 Storage Case Bag, Waterproof Shockproof Travel Bag Compatible with Playstation 5,Hard Shell Carrying Case for PS5","₹2,999",,, In stock 
